10,96,3,49,44,3,,,,,,,,,,,,,,,,
Codominant data,,,SCOPARIA,WAPONAHKIKENSIS,TINCTA,,,,,,,,,,,,,,,,
,pop,S082.1,S082.1,S180.1,S180.2,S245.1,S245.2,S119.1,S119.2,S181.1,S181.2,S087.1,S087.2,S177.1,S177.2,S175.1,S175.2,S047.1,S047.2,S128.1,S128.2
2878M,1,0,0,0,0,0,0,168,168,249,249,221,221,194,194,117,117,249,249,158,158
2889C,1,0,0,0,0,0,0,171,171,246,246,218,218,194,194,117,117,249,249,177,177
3316,1,144,144,184,184,196,196,174,174,240,240,203,203,197,197,105,105,220,220,158,158
3319,1,158,158,184,184,196,196,171,171,231,231,212,212,189,189,117,117,249,249,158,158
3326,1,144,144,184,184,196,205,171,171,228,228,221,221,186,194,117,117,249,249,161,161
3327,1,144,144,184,184,196,196,171,171,246,246,215,215,203,203,114,114,236,236,158,158
3328,1,144,144,184,184,196,196,171,171,243,243,209,209,194,194,114,114,220,236,158,158
3332,1,144,144,193,193,196,196,168,168,246,246,233,233,194,194,117,117,249,249,164,164
3335,1,147,147,193,193,208,208,174,174,263,263,233,233,189,189,117,117,265,265,158,158
3336,1,147,147,193,193,208,208,174,174,263,263,233,233,189,189,117,117,265,265,158,158
3355,1,144,153,184,184,199,208,171,174,240,246,212,215,194,200,117,117,253,253,164,164
3466,1,144,144,184,184,208,208,168,168,258,258,218,218,189,189,117,117,253,253,161,161
3473,1,144,144,184,184,196,196,171,171,243,243,209,209,189,189,114,114,269,269,158,158
3485C,1,144,147,184,184,208,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3489A,1,147,147,184,184,199,199,165,165,243,243,209,209,189,189,114,114,265,265,170,170
3489C,1,147,147,184,184,199,199,171,171,243,243,209,209,194,194,117,117,257,257,158,158
3493,1,144,144,184,184,205,205,171,171,231,231,227,227,194,194,105,105,236,236,145,151
3548,1,144,144,184,184,199,199,168,168,243,243,221,221,194,194,117,117,278,278,167,167
3555,1,144,144,196,196,211,211,171,171,243,243,215,215,194,194,117,117,249,249,158,158
3633A,1,144,144,184,184,196,196,174,174,243,243,215,215,183,183,117,117,249,249,164,164
3639,1,164,164,196,196,211,211,177,177,240,240,227,227,194,194,117,117,249,249,164,164
3641,1,144,144,184,184,196,196,165,165,240,240,233,233,194,194,117,117,261,261,158,158
3644,1,158,158,184,184,208,208,165,165,237,237,227,227,194,194,117,117,0,0,164,164
3648,1,144,144,184,184,196,196,171,171,243,243,227,227,194,194,114,114,236,236,158,158
3656A,1,158,158,184,184,196,196,171,171,231,231,221,221,194,194,105,105,0,0,145,145
3656B,1,144,144,184,184,196,196,174,174,240,240,224,224,194,194,105,105,0,0,167,167
3661,1,147,147,184,184,202,202,177,177,225,225,221,221,186,186,123,123,244,244,158,158
Carex_MOR_2079,1,144,144,184,184,199,199,165,177,243,243,209,209,186,186,114,114,269,269,158,158
Carex_MOR_2080,1,147,147,184,184,199,199,171,171,243,243,209,209,194,194,114,114,240,240,158,158
Carex_MOR_2081,1,158,158,184,184,208,208,171,177,228,243,209,218,194,194,101,114,240,265,158,170
Carex_MOR_2082,1,147,147,184,184,199,199,171,171,246,246,209,209,186,186,117,117,265,265,158,158
Carex_MOR_2083,1,144,144,184,184,199,199,171,171,243,243,209,209,186,186,114,114,265,265,158,158
Carex_MOR_2084,1,158,158,184,184,205,205,171,171,237,237,203,203,194,194,117,117,265,265,158,158
Carex_MOR_2085,1,158,158,184,184,208,208,177,177,246,246,218,218,194,194,114,114,236,236,158,158
Carex_MOR_2086,1,158,158,184,184,199,199,177,177,243,243,209,209,194,194,120,120,257,257,158,158
Carex_MOR_2087,1,158,158,184,184,199,199,174,174,243,243,209,209,186,186,114,114,236,236,158,158
Carex_MOR_2088,1,158,158,184,184,199,199,174,174,243,243,209,209,194,194,114,114,265,265,158,158
Carex_MOR_2089,1,158,158,184,184,199,199,171,171,243,243,209,209,186,186,117,117,245,245,158,158
Carex_MOR_2090,1,147,153,184,184,199,199,171,171,228,243,209,209,194,194,114,114,236,261,158,170
Carex_MOR_2091,1,153,158,184,184,199,199,171,177,237,246,209,209,194,194,114,114,240,269,158,158
Carex_MOR_2092,1,158,158,184,184,199,199,171,171,243,243,236,236,194,194,117,117,245,245,158,158
Carex_MOR_2093,1,158,158,184,184,199,199,171,171,243,243,236,236,194,194,117,117,245,245,158,158
Carex_MOR_2094,1,144,144,184,184,199,199,171,171,243,243,209,209,194,194,114,114,240,240,158,158
Carex_MOR_2095,1,144,147,184,184,199,199,165,174,237,243,209,209,186,194,114,114,240,261,158,158
Carex_MOR_2096,1,153,153,184,184,196,196,174,174,243,243,215,215,186,186,114,114,240,240,164,164
Carex_MOR_2097,1,158,158,184,184,199,199,171,171,243,243,209,209,186,186,114,114,245,245,158,158
Carex_MOR_2098,1,147,147,184,184,199,199,177,177,243,243,209,209,194,194,101,101,240,240,158,158
Carex_MOR_951,1,147,147,184,184,208,208,171,171,243,243,209,209,186,186,114,114,269,269,158,158
Carex_MOR_972,1,147,153,184,184,208,208,171,171,243,243,215,218,186,194,114,114,249,249,158,158
Carex_MOR_2056,2,144,144,184,184,196,196,184,184,231,231,212,212,191,191,120,120,229,229,158,158
Carex_MOR_2057,2,144,144,184,184,196,196,184,184,231,231,212,212,191,191,120,120,229,229,158,158
Carex_MOR_2058,2,144,144,184,184,196,196,184,184,231,231,212,212,191,191,120,120,229,229,158,158
Carex_MOR_2059,2,144,144,184,184,196,196,184,184,231,231,212,212,191,191,120,120,229,229,158,158
Carex_MOR_2060,2,144,144,184,184,196,196,184,184,231,231,212,212,191,191,120,120,229,229,158,158
Carex_MOR_2061,2,144,144,184,184,196,196,184,184,231,231,212,212,191,191,120,120,229,229,158,158
Carex_MOR_2062,2,144,144,184,184,196,196,184,184,231,231,212,212,191,191,120,120,229,229,158,158
Carex_MOR_2063,2,144,144,184,184,196,196,184,184,231,231,212,212,191,191,120,120,229,229,158,158
Carex_MOR_2064,2,144,144,184,184,196,196,184,184,231,231,212,212,191,191,120,120,229,229,158,158
Carex_MOR_2065,2,144,144,184,184,196,196,184,184,231,231,212,212,191,191,120,120,229,229,158,158
Carex_MOR_2066,2,144,144,184,184,196,196,184,184,231,231,212,212,191,191,120,120,229,229,158,158
Carex_MOR_2067,2,144,144,184,184,196,196,184,184,231,231,212,212,191,191,120,120,229,229,158,158
Carex_MOR_2068,2,144,144,184,184,196,196,184,184,231,231,212,212,191,191,120,120,229,229,158,158
Carex_MOR_2069,2,144,144,184,184,196,196,184,184,231,231,212,212,191,191,120,120,229,229,158,158
Carex_MOR_2070,2,144,144,184,184,196,196,184,184,231,231,212,212,191,191,120,120,229,229,158,158
Carex_MOR_2072,2,144,144,184,184,196,196,184,184,231,231,212,212,191,191,120,120,229,229,158,158
Carex_MOR_2073,2,144,144,184,184,196,196,184,184,231,231,212,212,191,191,120,120,229,229,158,158
Carex_MOR_2074,2,144,144,184,184,196,196,184,184,231,231,212,212,191,191,120,120,229,229,158,158
Carex_MOR_2075,2,144,144,184,184,196,196,184,184,231,231,212,212,191,191,120,120,229,229,158,158
Carex_MOR_2076,2,144,144,184,184,196,196,184,184,231,231,212,212,191,191,120,120,229,229,158,158
Carex_MOR_2077,2,144,144,184,184,196,196,184,184,231,231,212,212,191,191,120,120,229,229,158,158
Carex_MOR_2078,2,144,144,184,184,196,196,184,184,231,231,212,212,191,191,120,120,229,229,158,158
Carex_MOR_2101,2,144,144,184,184,196,196,184,184,231,231,212,212,191,191,120,120,229,229,158,158
Carex_MOR_930,2,144,144,184,184,196,196,184,184,231,231,212,212,191,191,120,120,229,229,158,158
Carex_MOR_931,2,144,144,175,184,193,196,184,184,231,231,212,212,191,191,101,120,229,229,158,158
Carex_MOR_932,2,144,144,184,184,196,196,184,184,231,231,212,212,191,191,120,120,229,229,158,158
Carex_MOR_933,2,144,144,184,184,196,196,184,184,231,231,212,212,191,191,120,120,229,229,158,158
Carex_MOR_934,2,144,144,184,184,196,196,184,184,231,231,212,212,191,191,120,120,229,229,158,158
Carex_MOR_935,2,144,144,184,184,196,196,184,184,231,231,212,212,0,0,0,0,0,0,0,0
Carex_MOR_936,2,144,144,184,184,196,196,184,184,231,231,212,212,191,191,120,120,229,229,158,158
Carex_MOR_937,2,144,144,184,184,196,196,184,184,231,231,212,212,191,191,120,120,229,229,158,158
Carex_MOR_938,2,144,144,184,184,196,196,184,184,231,231,212,212,191,191,120,120,229,229,158,158
Carex_MOR_939,2,144,144,184,184,196,196,184,184,231,231,212,212,191,191,120,120,229,229,158,158
Carex_MOR_940,2,144,144,184,184,196,196,184,184,231,231,212,212,191,191,120,120,229,229,158,158
Carex_MOR_941,2,144,144,184,184,196,196,184,184,231,231,212,212,191,191,120,120,229,229,158,158
Carex_MOR_942,2,144,144,184,184,196,196,184,184,231,231,212,212,191,191,120,120,229,229,158,158
Carex_MOR_943,2,144,144,184,184,196,196,184,184,231,231,212,212,0,0,0,0,0,0,0,0
Carex_MOR_944,2,144,144,184,184,196,196,184,184,231,231,212,212,191,191,120,120,229,229,158,158
Carex_MOR_945,2,144,144,184,184,196,196,184,184,231,231,212,212,191,191,120,120,229,229,158,158
Carex_MOR_946,2,144,144,184,184,196,196,184,184,231,231,212,212,191,191,120,120,229,229,158,158
Carex_MOR_947,2,144,144,184,184,196,196,184,184,231,231,212,212,191,191,120,120,229,229,158,158
Carex_MOR_948,2,144,144,184,184,196,196,184,184,231,231,212,212,191,191,120,120,229,229,158,158
Carex_MOR_949,2,144,144,184,184,196,196,184,184,231,231,212,212,191,191,120,120,229,229,158,158
Carex_MOR_950,2,144,144,184,184,196,196,184,184,231,231,212,212,191,191,120,120,229,229,158,158
Carex_MOR_2071,3,144,144,184,184,193,193,186,186,234,234,203,209,180,180,111,111,218,218,173,173
Carex_MOR_2099,3,144,144,188,188,193,193,186,186,234,234,203,209,180,180,111,111,218,218,173,173
Carex_MOR_2100,3,144,144,188,188,193,193,186,186,234,234,203,209,180,180,111,111,218,218,173,173
